Producto,Marca,Modelo,Calificación,Fecha,Texto,texto_limpio,sentimiento,tokens,dominant_topic,sentimiento_vader,category,vector
Celular Apple Iphone 13 128gb,Desconocida,Desconocido,1 de 5 estrellas.,hace un mes,"Despacho super tardío sin ninguna explicación, el envase viene sin sello de celofán (no sé si lo trae) además lo tiraron por arriba de la reja y no viene xon protección plástica.",despachar super tardío ninguno explicación envase venir sello celofán traer además tirar arriba rejo venir xon protección plástico,-1,"['despachar', 'super', 'tardío', 'ninguno', 'explicación', 'envase', 'venir', 'sello', 'celofán', 'traer', 'además', 'tirar', 'arriba', 'rejo', 'venir', 'xon', 'protección', 'plástico']",1,-1,Bateria,"1125,73,2399,105,1119,2426,26,589,2424,198,116,2423,2422,2421,26,2420,725,1134,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0"
Celular Apple Iphone 13 128gb,Desconocida,Desconocido,5 de 5 estrellas.,hace 2 años,"Adquirí este producto hace aproximadamente un mes y hasta ahora se ha comportado impecablemente, llego en el horario y fecha indicado, así que estoy muy conforme con la compra.",adquirir producto hacer aproximadamente mes ahora comportado impecablemente llego horario fecha indicado así conforme compra,0,"['adquirir', 'producto', 'hacer', 'aproximadamente', 'mes', 'ahora', 'comportado', 'impecablemente', 'llego', 'horario', 'fecha', 'indicado', 'así', 'conforme', 'compra']",0,1,Rendimiento,"303,3,48,2418,124,62,690,2417,15,987,102,86,166,63,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0"
Celular Apple Iphone 13 128gb,Desconocida,Desconocido,3 de 5 estrellas.,hace 2 años,"Pasaron 12 meses y se reventó el parlante y no escucho absolutamente nada cuando me llaman , espero que la garantía lo cubra . Primera vez que tengo un iPhone con problemas .",pasar mes reventar parlante escuchar absolutamente llamar esperar garantía cobrar primero vez iphonar problema,-1,"['pasar', 'mes', 'reventar', 'parlante', 'escuchar', 'absolutamente', 'llamar', 'esperar', 'garantía', 'cobrar', 'primero', 'vez', 'iphonar', 'problema']",1,-1,Bateria,"327,124,2416,2415,971,2413,475,42,191,1082,185,199,34,74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0"
Celular Apple Iphone 13 128gb,Desconocida,Desconocido,5 de 5 estrellas.,hace 10 meses,"Llevo un poco más de una semana usándolo y muy rápido, pasé del iPhone 11 al 13 y se notan los cambios, hasta el momento funciona muy bien, buena batería, excelente camara",llevar semana usándolo rápido pasar iphone notar cambio momento funcionar bien buen batería excelente camar,1,"['llevar', 'semana', 'usándolo', 'rápido', 'pasar', 'iphone', 'notar', 'cambio', 'momento', 'funcionar', 'bien', 'buen', 'batería', 'excelente', 'camar']",0,0,Rendimiento,"206,195,341,10,327,35,993,183,58,43,12,1,56,6,83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0"
Celular Apple Iphone 13 128gb,Desconocida,Desconocido,5 de 5 estrellas.,hace 2 años,"Excelente, entrega en la fecha que corresponde, el teléfono muy muy bueno! Me encanto, muy buena compra, hasta el momento no he tenido ni un inconveniente con el teléfono.",excelente entrega fecho corresponder teléfono bueno encanto buen compra momento inconveniente teléfono,0,"['excelente', 'entrega', 'fecho', 'corresponder', 'teléfono', 'bueno', 'encanto', 'buen', 'compra', 'momento', 'inconveniente', 'teléfono']",0,-1,Rendimiento,"6,29,2410,27,33,17,67,1,22,58,145,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0"
Celular Apple Iphone 13 128gb,Desconocida,Desconocido,5 de 5 estrellas.,hace 2 años,"Retiro del producto rápido y sin demoras, producto igual al anuncio, buen tamaño, color excelente, hasta ahora buen desempeño, cumple con lo requerido, lo recomiendo 100%",retirar producto rápido demora producto igual anuncio buen tamaño color excelente ahora buen desempeño cumplir requerido recomeir,0,"['retirar', 'producto', 'rápido', 'demora', 'producto', 'igual', 'anuncio', 'buen', 'tamaño', 'color', 'excelente', 'ahora', 'buen', 'desempeño', 'cumplir', 'requerido', 'recomeir']",0,-1,Rendimiento,"2409,3,10,712,3,9,429,1,7,13,6,62,1,272,19,2406,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0"
Celular Apple Iphone 13 128gb,Desconocida,Desconocido,4 de 5 estrellas.,hace 2 años,"Compre este celular pero no me gustó por el tamaño de la pantalla, estaba acostumbrado a utilizar pantallas más grandes, así que lo tuve que cambiar por el iPhone 13 PRO",compre celular gustar tamaño pantalla acostumbrado utilizar pantalla grande así cambiar iphone pro,0,"['compre', 'celular', 'gustar', 'tamaño', 'pantalla', 'acostumbrado', 'utilizar', 'pantalla', 'grande', 'así', 'cambiar', 'iphone', 'pro']",1,-1,Bateria,"114,14,72,7,38,354,462,38,117,166,237,35,1005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0"
Celular Apple Iphone 13 128gb,Desconocida,Desconocido,5 de 5 estrellas.,hace 2 años,"Excelente compra y feliz con el producto, la vendedora que me atendió un 10,  amorosa simpatica,  proactiva,  buen elemento para falabella. MILA,  es el nombre de ella.",excelente compra feliz producto vendedoro atender amoroso simpatico proactivo buen elemento falabella mila nombre,1,"['excelente', 'compra', 'feliz', 'producto', 'vendedoro', 'atender', 'amoroso', 'simpatico', 'proactivo', 'buen', 'elemento', 'falabella', 'mila', 'nombre']",0,0,Rendimiento,"6,22,107,3,717,1070,1068,1065,1064,1,1063,78,1062,1137,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0"
Celular Apple Iphone 13 128gb,Desconocida,Desconocido,5 de 5 estrellas.,hace 2 años,"Además de tener un hermoso diseño, su tamaño es perfecto. Muy rápido para descargar archivos y me sorprendió lo fácil que fue traspasar todo mi iphone antiguo al nuevo.",además tener hermoso diseño tamaño perfecto rápido descargar archivo sorprender fácil traspasar iphone antiguo nuevo,1,"['además', 'tener', 'hermoso', 'diseño', 'tamaño', 'perfecto', 'rápido', 'descargar', 'archivo', 'sorprender', 'fácil', 'traspasar', 'iphone', 'antiguo', 'nuevo']",1,1,Bateria,"116,139,81,70,7,16,10,635,637,381,164,722,35,318,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0"
Celular Apple Iphone 13 128gb,Desconocida,Desconocido,5 de 5 estrellas.,hace 8 meses,"Tuve que cambiar de teléfono por un accidente e invertir en este iPhone fue lo mejor, es muy completo y súper rápido, tiene una cámara increíble y todo es maravilloso",cambiar teléfono accidente invertir iphonar mejor completo súper rápido cámara increíble maravilloso,1,"['cambiar', 'teléfono', 'accidente', 'invertir', 'iphonar', 'mejor', 'completo', 'súper', 'rápido', 'cámara', 'increíble', 'maravilloso']",1,0,Bateria,"237,33,1224,1222,34,32,192,57,10,20,109,182,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0"
Celular Apple Iphone 13 128gb,Desconocida,Desconocido,5 de 5 estrellas.,hace un año,"Todo bien con el celular  corresponde a la descripción, en cuanto a color, capacidad de memoria, está funcionando perfecto y la  entrega fue el día que corresponde.",bien celular corresponder descripción cuanto color capacidad memorio funcionar perfecto entrega día corresponder,0,"['bien', 'celular', 'corresponder', 'descripción', 'cuanto', 'color', 'capacidad', 'memorio', 'funcionar', 'perfecto', 'entrega', 'día', 'corresponder']",2,1,Camara,"12,14,27,30,212,13,96,119,43,16,29,28,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0"
Celular Apple Iphone 13 128gb,Desconocida,Desconocido,5 de 5 estrellas.,hace 2 meses,"Muy buena compra, compré dos iPhone 13, mi pareja feliz por el regalo y yo también disfrutando del producto, y que mejor que estaba en oferta, ahora se agotaron ??",buen compra comprar dos iphone pareja feliz regalo disfrutar producto mejor oferta ahora agotar,1,"['buen', 'compra', 'comprar', 'dos', 'iphone', 'pareja', 'feliz', 'regalo', 'disfrutar', 'producto', 'mejor', 'oferta', 'ahora', 'agotar']",0,0,Rendimiento,"1,22,64,257,35,1219,107,101,893,3,32,171,62,997,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0"
Celular Apple Iphone 13 128gb,Desconocida,Desconocido,5 de 5 estrellas.,hace 2 años,"Es un teléfono excelente, según lo especificado, gran rendimiento y bonito diseño, llego el día indicado y sin problema alguno. Estoy muy satisfecha con la compra.",teléfono excelente según especificado gran rendimiento bonito diseño llego día indicado problema alguno satisfecho compra,1,"['teléfono', 'excelente', 'según', 'especificado', 'gran', 'rendimiento', 'bonito', 'diseño', 'llego', 'día', 'indicado', 'problema', 'alguno', 'satisfecho', 'compra']",0,-1,Rendimiento,"33,6,259,464,160,136,39,70,15,28,86,74,443,84,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0"
Celular Apple Iphone 13 128gb,Desconocida,Desconocido,5 de 5 estrellas.,hace 2 años,"Me encantó, es muy útil funcional, excelente cámara, el despacho fue el mismo día que lo compré. Excelente producto. Tenían el color rojo que era el que quería",encantar útil funcional excelente cámar despacho mismo día comprar excelente producto color rojo querer,1,"['encantar', 'útil', 'funcional', 'excelente', 'cámar', 'despacho', 'mismo', 'día', 'comprar', 'excelente', 'producto', 'color', 'rojo', 'querer']",0,0,Rendimiento,"44,364,285,6,88,223,95,28,64,6,3,13,531,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0"
Celular Apple Iphone 13 128gb,Desconocida,Desconocido,5 de 5 estrellas.,hace 7 meses,Siempre lo que compro tanto el tienda como online he quedado satisfecho pues cumplen con las expectativas que tengo en el articulo comprado esta vez fue un fono.,siempre compro tiendar online quedado satisfecho pues cumplir expectativa articulo comprado vez fono,0,"['siempre', 'compro', 'tiendar', 'online', 'quedado', 'satisfecho', 'pues', 'cumplir', 'expectativa', 'articulo', 'comprado', 'vez', 'fono']",0,0,Rendimiento,"112,172,572,433,2330,84,530,19,36,2328,399,199,2313,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0"
Celular Apple Iphone 13 128gb,Desconocida,Desconocido,5 de 5 estrellas.,hace un año,"Es igual a la foto muy buena calidad antes tenia el xr y el cambio es fantastico, la pantalla se ve genial y la bateria puede durar hasta 16 horas en uso normal",igual foto buen calidad tenio cambio fantastico pantalla genial bateria poder durar hora uso normal,1,"['igual', 'foto', 'buen', 'calidad', 'tenio', 'cambio', 'fantastico', 'pantalla', 'genial', 'bateria', 'poder', 'durar', 'hora', 'uso', 'normal']",1,1,Bateria,"9,4,1,2,1208,183,1207,38,50,333,61,348,220,91,277,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0"
Celular Apple Iphone 13 128gb,Desconocida,Desconocido,5 de 5 estrellas.,hace 2 años,"iPhone súper rápido, buena calidad de imagen y video. Muy recomendable para que puedan adquirir este equipo que encontré a un valor tentativo dentro de su gama.",iphone súper rápido buen calidad imagen video recomendable poder adquirir equipo encontré valor tentativo dentro gama,1,"['iphone', 'súper', 'rápido', 'buen', 'calidad', 'imagen', 'video', 'recomendable', 'poder', 'adquirir', 'equipo', 'encontré', 'valor', 'tentativo', 'dentro', 'gama']",1,0,Bateria,"35,57,10,1,2,31,211,138,61,303,8,1008,831,1206,246,120,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0"
Celular Apple Iphone 13 128gb,Desconocida,Desconocido,5 de 5 estrellas.,hace 2 años,"Es un excelente celular, pero me ha costado mucho adaptarme de Android a Apple, pero aún así es increíble. Buena cámara, rápido, batería duradera. Recomendable",excelente celular costado adaptarme android apple aún así increíble buen cámara rápido batería duradero recomendable,1,"['excelente', 'celular', 'costado', 'adaptarme', 'android', 'apple', 'aún', 'así', 'increíble', 'buen', 'cámara', 'rápido', 'batería', 'duradero', 'recomendable']",1,1,Bateria,"6,14,721,751,218,55,224,166,109,1,20,10,56,513,138,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0"
Celular Apple Iphone 13 128gb,Desconocida,Desconocido,5 de 5 estrellas.,hace 2 años,"Es muy bueno para tomar fotos, y el modo cine UF ESPECTACULAR, buen almacenamiento y muy bonito diseño y ademas muy resistente. Se paso apple es una maravilla",bueno tomar foto modo cine espectacular buen almacenamiento bonito diseño adema resistente paso apple maravilla,1,"['bueno', 'tomar', 'foto', 'modo', 'cine', 'espectacular', 'buen', 'almacenamiento', 'bonito', 'diseño', 'adema', 'resistente', 'paso', 'apple', 'maravilla']",0,0,Rendimiento,"17,113,4,280,411,189,1,152,39,70,439,325,678,55,390,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0"
Celular Apple Iphone 13 128gb,Desconocida,Desconocido,5 de 5 estrellas.,hace 2 años,"Excelente calidad y más bonito que en la foto. Yo tuve iPhone 3 4 y 5 y emigré a android. No es malo, pero volví a Apple y ahora sí que nunca más me cambio.",excelente calidad bonito foto iphonar emigré android malo volví apple ahora nunca cambio,0,"['excelente', 'calidad', 'bonito', 'foto', 'iphonar', 'emigré', 'android', 'malo', 'volví', 'apple', 'ahora', 'nunca', 'cambio']",1,-1,Bateria,"6,2,39,4,34,2318,218,5,2317,55,62,156,183,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0"
Celular Apple Iphone 13 128gb,Desconocida,Desconocido,5 de 5 estrellas.,hace 2 años,Muy buen servicio .. el celular viene en óptimas condiciones el retiro y entrega del producto un 10/10 Se respetó fecha de entrega. Feliz con mi producto,buen servicio celular venir óptimo condición retiro entregar producto respetar fecha entrega feliz producto,0,"['buen', 'servicio', 'celular', 'venir', 'óptimo', 'condición', 'retiro', 'entregar', 'producto', 'respetar', 'fecha', 'entrega', 'feliz', 'producto']",0,0,Rendimiento,"1,270,14,26,310,49,370,46,3,2315,102,29,107,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0"
Celular Apple Iphone 13 128gb,Desconocida,Desconocido,5 de 5 estrellas.,hace 2 años,"Es la misma calidad que todos los iPhone, me  tengo que acostumbrar a que es un poco más pequeño al yo tenía el iPhone 11.La cámara es lo mejor totalmente.",mismo calidad iphonar acostumbrar pequeño iphone cámar mejor totalmente,0,"['mismo', 'calidad', 'iphonar', 'acostumbrar', 'pequeño', 'iphone', 'cámar', 'mejor', 'totalmente']",1,0,Bateria,"95,2,34,1218,266,35,88,32,89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0"
Celular Apple Iphone 13 128gb,Desconocida,Desconocido,3 de 5 estrellas.,hace 2 meses,Me dio mucho miedo ver la caja asi.. pero la del iphone se veia sellada.. y bueno al abrirlo todo ok y en excelentes condiciones! Solo que me dio miedooo,dar miedo ver caja asi iphone veiar sellado bueno abrir él excelente condición solo dar miedooo,-1,"['dar', 'miedo', 'ver', 'caja', 'asi', 'iphone', 'veiar', 'sellado', 'bueno', 'abrir', 'excelente', 'condición', 'solo', 'dar', 'miedooo']",0,1,Rendimiento,"151,830,170,238,461,35,2340,59,17,393,6,49,66,151,2341,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0"
Celular Apple Iphone 13 128gb,Desconocida,Desconocido,1 de 5 estrellas.,hace 2 años,"SE RECALENTÓ Y LA BATERÍA SE ACABÓ EN MENOS DE 1/2 hora . Y NO ENCENDIÓ MÁS. MUY TRISTE LA EXPERIENCIA, YA QUE NUNCA ME HABÍA PASADO ESO CON UN IPHONE",recalentar batería acabar menos hora encender triste experiencia nunca pasado iphone,-1,"['recalentar', 'batería', 'acabar', 'menos', 'hora', 'encender', 'triste', 'experiencia', 'nunca', 'pasado', 'iphone']",1,-1,Bateria,"498,56,1233,208,220,990,2343,82,156,718,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0"
Celular Apple Iphone 13 128gb,Desconocida,Desconocido,5 de 5 estrellas.,hace un año,"Cambie de un iphone xr a este y la verdad si se nota el cambio, la camara es de mucha mejor calidad y la bateria dura bastante y se carga super rapido",cambiar iphonar verdad nota cambio camarar mucho mejor calidad baterio duro bastante carga super rapido,1,"['cambiar', 'iphonar', 'verdad', 'nota', 'cambio', 'camarar', 'mejor', 'calidad', 'baterio', 'duro', 'bastante', 'carga', 'super', 'rapido']",1,1,Bateria,"237,34,143,347,183,147,32,2,229,41,75,103,73,65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0"
Celular Apple Iphone 13 128gb,Desconocida,Desconocido,5 de 5 estrellas.,hace un año,"Excelente, fue de manera sencilla, rapida y eficaz 100% recomendable, iPhone cumple con su descripción, llego de manera segura y en excelente estado.",excelente manera sencillo rapido eficaz recomendable iphonar cumplir descripción llego manero seguro excelente,1,"['excelente', 'manera', 'sencillo', 'rapido', 'eficaz', 'recomendable', 'iphonar', 'cumplir', 'descripción', 'llego', 'manero', 'seguro', 'excelente']",0,0,Rendimiento,"6,362,335,65,668,138,34,19,30,15,1260,142,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0"
Celular Apple Iphone 13 128gb,Desconocida,Desconocido,5 de 5 estrellas.,hace un año,"Excelente, fue de manera sencilla, rapida y eficaz 100% recomendable, iPhone cumple con su descripción, llego de manera segura y en excelente estado.",excelente manera sencillo rapido eficaz recomendable iphonar cumplir descripción llego manero seguro excelente,1,"['excelente', 'manera', 'sencillo', 'rapido', 'eficaz', 'recomendable', 'iphonar', 'cumplir', 'descripción', 'llego', 'manero', 'seguro', 'excelente']",0,0,Rendimiento,"6,362,335,65,668,138,34,19,30,15,1260,142,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0"
Celular Apple Iphone 13 128gb,Desconocida,Desconocido,5 de 5 estrellas.,hace 2 años,"Hermoso diseño, gran capacidad, mucha rapidez para bajar archivos y juegos. Mucha facilidad para traspasar TODA la información de mi antiguo iPhone.",hermoso diseño gran capacidad mucho rapidez bajar archivo juegos mucho facilidad traspasar todo información antiguo iphone,1,"['hermoso', 'diseño', 'gran', 'capacidad', 'rapidez', 'bajar', 'archivo', 'juegos', 'facilidad', 'traspasar', 'información', 'antiguo', 'iphone']",1,0,Bateria,"81,70,160,96,162,848,637,255,716,722,316,318,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0"
Celular Apple Iphone 13 128gb,Desconocida,Desconocido,5 de 5 estrellas.,hace 2 meses,A pesar de que no es el último modelo de iphone (13) realmente es una excelente compra y lo compré a un muy buen precio comparado con otras tiendas.,pesar último modelo iphonar realmente excelente compra comprar buen precio comparado tienda,1,"['pesar', 'último', 'modelo', 'iphonar', 'realmente', 'excelente', 'compra', 'comprar', 'buen', 'precio', 'comparado', 'tienda']",1,-1,Bateria,"227,460,77,34,137,6,22,64,1,24,434,169,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0"
Celular Apple Iphone 13 128gb,Desconocida,Desconocido,5 de 5 estrellas.,hace 2 años,"Teléfono de grandes prestaciones, concocido por el mercado, pero estaba disponible el mismo dia en la tienda, de esta forma no me quede incomunicado",teléfono grande prestación concocido mercado disponible mismo dia tiendo forma quedar incomunicado,0,"['teléfono', 'grande', 'prestación', 'concocido', 'mercado', 'disponible', 'mismo', 'dia', 'tiendo', 'forma', 'quedar', 'incomunicado']",1,-1,Bateria,"33,117,815,2366,616,804,95,431,970,564,187,2363,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0"
Celular Apple Iphone 13 128gb,Desconocida,Desconocido,5 de 5 estrellas.,hace 2 años,"Muy rápido, muy comodo pues es mas pequeño que es antecesores y la batería me dura casi 2 días, grandes mejoras en la cámara fotográfica, me encantó",rápido comodo pues mas pequeño antecesor bateer duro casi día grande mejora cámar fotográfico encantar,1,"['rápido', 'comodo', 'pues', 'mas', 'pequeño', 'antecesor', 'bateer', 'duro', 'casi', 'día', 'grande', 'mejora', 'cámar', 'fotográfico', 'encantar']",1,0,Bateria,"10,349,530,100,266,901,37,41,200,28,117,398,88,568,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0"
Celular Apple Iphone 13 128gb,Desconocida,Desconocido,5 de 5 estrellas.,hace un año,iPhone hermoso. Muy poderoso y rápido. Vuelvo a recalcar que es una excelente opción si lo compran en oferta con la cmr y en 10 pagos sin intereses.,iphone hermoso poderoso rápido vuelvo recalcar excelente opción comprar oferta cmr pago interés,1,"['iphone', 'hermoso', 'poderoso', 'rápido', 'vuelvo', 'recalcar', 'excelente', 'opción', 'comprar', 'oferta', 'cmr', 'pago', 'interés']",1,-1,Bateria,"35,81,1258,10,1257,1255,6,154,64,171,465,436,278,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0"
Celular Apple Iphone 13 128gb,Desconocida,Desconocido,5 de 5 estrellas.,hace 7 meses,"Cumplieron con el envío, super rápido. Producto de buena calidad, además que aproveché la venta en Ciber Day y me salió muy conveniente esta compra.",cumplir envío super rápido producto buen calidad además aproveché ventar ciber day salir conveniente compra,1,"['cumplir', 'envío', 'super', 'rápido', 'producto', 'buen', 'calidad', 'además', 'aproveché', 'ventar', 'ciber', 'day', 'salir', 'conveniente', 'compra']",0,1,Rendimiento,"19,126,73,10,3,1,2,116,623,676,1251,1249,204,1235,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0"
Celular Apple Iphone 13 128gb,Desconocida,Desconocido,5 de 5 estrellas.,hace 2 años,"Por años tuve mi fiel Iphone 6s, jamás me falló y lo cuidé con cariño, ahora cambié y la verdad que el Iphone 13 es una bestia. Feliz con mi compra",año fiel iphonar jamás fallar cuidé cariño ahora cambié verdad iphone bestia feliz compra,1,"['año', 'fiel', 'iphonar', 'jamás', 'fallar', 'cuidé', 'cariño', 'ahora', 'cambié', 'verdad', 'iphone', 'bestia', 'feliz', 'compra']",1,0,Bateria,"175,715,34,852,669,1246,974,62,640,143,35,975,107,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0"
Celular Apple Iphone 13 128gb,Desconocida,Desconocido,5 de 5 estrellas.,hace un año,"Cambie de un iphone xr a este y la verdad se nota bastante el cambio, la camara, el sistema operativo, la duracion de la bateria y la carga rapida.",cambiar iphonar verdad nota bastante cambio camarar sistema operativo duracion baterio carga rapido,0,"['cambiar', 'iphonar', 'verdad', 'nota', 'bastante', 'cambio', 'camarar', 'sistema', 'operativo', 'duracion', 'baterio', 'carga', 'rapido']",1,0,Bateria,"237,34,143,347,75,183,147,167,281,523,229,103,65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0"
